t,E
0,-0.0000119
0.05,-0.00000189
0.1,0.00000739
0.15,0.0000157
0.2,0.0000228
0.25,0.0000287
0.3,0.0000332
0.35,0.0000364
0.4,0.0000384
0.45,0.0000393
0.5,0.0000393
0.55,0.0000384
0.6,0.0000371
0.65,0.0000354
0.7,0.0000335
0.75,0.0000317
0.8,0.0000301
0.85,0.0000287
0.9,0.0000277
0.95,0.000027
1,0.0000268
1.05,0.0000269
1.1,0.0000273
1.15,0.0000281
1.2,0.000029
1.25,0.0000302
1.3,0.0000315
1.35,0.0000329
1.4,0.0000344
1.45,0.000036
1.5,0.0000377
1.55,0.0000395
1.6,0.0000414
1.65,0.0000435
1.7,0.0000456
1.75,0.0000477
1.8,0.0000498
1.85,0.0000518
1.9,0.0000536
1.95,0.0000549
2,0.0000557
2.05,0.0000556
2.1,0.0000545
2.15,0.0000521
2.2,0.0000483
2.25,0.0000428
2.3,0.0000355
2.35,0.0000262
2.4,0.0000149
2.45,0.00000154
2.5,-0.0000137
2.55,-0.0000309
2.6,-0.0000497
2.65,-0.00007
2.7,-0.0000916
2.75,-0.000114
2.8,-0.000137
2.85,-0.000161
2.9,-0.000185
2.95,-0.000208
3,-0.000232
3.05,-0.000255
3.1,-0.000278
3.15,-0.000302
3.2,-0.000325
3.25,-0.000349
3.3,-0.000373
3.35,-0.000399
3.4,-0.000427
3.45,-0.000456
3.5,-0.000489
3.55,-0.000524
3.6,-0.000562
3.65,-0.000605
3.7,-0.000651
3.75,-0.000702
3.8,-0.000756
3.85,-0.000815
3.9,-0.000877
3.95,-0.000943
4,-0.00101
4.05,-0.00108
4.1,-0.00115
4.15,-0.00123
4.2,-0.0013
4.25,-0.00137
4.3,-0.00144
4.35,-0.00151
4.4,-0.00158
4.45,-0.00165
4.5,-0.00171
4.55,-0.00176
4.6,-0.00182
4.65,-0.00186
4.7,-0.00191
4.75,-0.00195
4.8,-0.00199
4.85,-0.00202
4.9,-0.00206
4.95,-0.00209
5,-0.00212
5.05,-0.00214
5.1,-0.00217
5.15,-0.0022
5.2,-0.00223
5.25,-0.00225
5.3,-0.00228
5.35,-0.00231
5.4,-0.00235
5.45,-0.00238
5.5,-0.00241
5.55,-0.00244
5.6,-0.00248
5.65,-0.00251
5.7,-0.00254
5.75,-0.00258
5.8,-0.00261
5.85,-0.00264
5.9,-0.00267
5.95,-0.00269
6,-0.00272
6.05,-0.00274
6.1,-0.00276
6.15,-0.00278
6.2,-0.00279
6.25,-0.00281
6.3,-0.00282
6.35,-0.00284
6.4,-0.00285
6.45,-0.00286
6.5,-0.00287
6.55,-0.00288
6.6,-0.0029
6.65,-0.00291
6.7,-0.00292
6.75,-0.00293
6.8,-0.00293
6.85,-0.00294
6.9,-0.00294
6.95,-0.00294
7,-0.00294
7.05,-0.00292
7.1,-0.00291
7.15,-0.00288
7.2,-0.00285
7.25,-0.00281
7.3,-0.00276
7.35,-0.0027
7.4,-0.00263
7.45,-0.00255
7.5,-0.00246
7.55,-0.00236
7.6,-0.00225
7.65,-0.00214
7.7,-0.00202
7.75,-0.0019
7.8,-0.00177
7.85,-0.00164
7.9,-0.00151
7.95,-0.00138
8,-0.00125
8.05,-0.00113
8.1,-0.001
8.15,-0.00088
8.2,-0.00076
8.25,-0.000641
8.3,-0.000524
8.35,-0.000406
8.4,-0.000287
8.45,-0.000164
8.5,-0.0000371
8.55,0.000097
8.6,0.00024
8.65,0.000393
8.7,0.000559
8.75,0.000739
8.8,0.000934
8.85,0.00115
8.9,0.00137
8.95,0.00162
9,0.00188
9.05,0.00216
9.1,0.00246
9.15,0.00277
9.2,0.0031
9.25,0.00344
9.3,0.00378
9.35,0.00414
9.4,0.0045
9.45,0.00487
9.5,0.00523
9.55,0.0056
9.6,0.00596
9.65,0.00632
9.7,0.00668
9.75,0.00702
9.8,0.00736
9.85,0.0077
9.9,0.00802
9.95,0.00834
10,0.00865
10.05,0.00895
10.1,0.00924
10.15,0.00953
10.2,0.00981
10.25,0.0101
10.3,0.0103
10.35,0.0106
10.4,0.0109
10.45,0.0111
10.5,0.0114
10.55,0.0116
10.6,0.0119
10.65,0.0121
10.7,0.0124
10.75,0.0126
10.8,0.0128
10.85,0.013
10.9,0.0133
10.95,0.0135
11,0.0137
11.05,0.0139
11.1,0.0141
11.15,0.0142
11.2,0.0144
11.25,0.0146
11.3,0.0147
11.35,0.0149
11.4,0.015
11.45,0.0152
11.5,0.0153
11.55,0.0154
11.6,0.0155
11.65,0.0156
11.7,0.0157
11.75,0.0158
11.8,0.0159
11.85,0.0159
11.9,0.016
11.95,0.016
12,0.0161
12.05,0.0161
12.1,0.0162
12.15,0.0162
12.2,0.0162
12.25,0.0162
12.3,0.0162
12.35,0.0162
12.4,0.0161
12.45,0.0161
12.5,0.0161
12.55,0.016
12.6,0.0159
12.65,0.0159
12.7,0.0158
12.75,0.0157
12.8,0.0156
12.85,0.0155
12.9,0.0153
12.95,0.0152
13,0.0151
13.05,0.0149
13.1,0.0148
13.15,0.0146
13.2,0.0144
13.25,0.0143
13.3,0.0141
13.35,0.0139
13.4,0.0138
13.45,0.0136
13.5,0.0134
13.55,0.0132
13.6,0.0131
13.65,0.0129
13.7,0.0127
13.75,0.0125
13.8,0.0123
13.85,0.0121
13.9,0.0119
13.95,0.0117
14,0.0115
14.05,0.0113
14.1,0.0111
14.15,0.0109
14.2,0.0106
14.25,0.0104
14.3,0.0102
14.35,0.00994
14.4,0.00969
14.45,0.00944
14.5,0.00918
14.55,0.00892
14.6,0.00865
14.65,0.00838
14.7,0.00811
14.75,0.00784
14.8,0.00756
14.85,0.00729
14.9,0.00701
14.95,0.00673
15,0.00646
15.05,0.00618
15.1,0.0059
15.15,0.00563
15.2,0.00535
15.25,0.00508
15.3,0.00481
15.35,0.00454
15.4,0.00428
15.45,0.00402
15.5,0.00377
15.55,0.00352
15.6,0.00328
15.65,0.00305
15.7,0.00283
15.75,0.00262
15.8,0.00242
15.85,0.00222
15.9,0.00204
15.95,0.00188
16,0.00172
16.05,0.00157
16.1,0.00144
16.15,0.00131
16.2,0.0012
16.25,0.00109
16.3,0.000984
16.35,0.000884
16.4,0.000786
16.45,0.000689
16.5,0.000591
16.55,0.00049
16.6,0.000386
16.65,0.000277
16.7,0.000163
16.75,0.0000423
16.8,-0.0000841
16.85,-0.000217
16.9,-0.000354
16.95,-0.000497
17,-0.000644
17.05,-0.000794
17.1,-0.000946
17.15,-0.0011
17.2,-0.00125
17.25,-0.0014
17.3,-0.00155
17.35,-0.0017
17.4,-0.00185
17.45,-0.00199
17.5,-0.00213
17.55,-0.00227
17.6,-0.00241
17.65,-0.00255
17.7,-0.00269
17.75,-0.00284
17.8,-0.00299
17.85,-0.00314
17.9,-0.0033
17.95,-0.00348
18,-0.00365
18.05,-0.00384
18.1,-0.00404
18.15,-0.00425
18.2,-0.00446
18.25,-0.00468
18.3,-0.00491
18.35,-0.00515
18.4,-0.00539
18.45,-0.00563
18.5,-0.00587
18.55,-0.00612
18.6,-0.00636
18.65,-0.00659
18.7,-0.00683
18.75,-0.00706
18.8,-0.00728
18.85,-0.00749
18.9,-0.0077
18.95,-0.00791
19,-0.0081
19.05,-0.00829
19.1,-0.00848
19.15,-0.00866
19.2,-0.00883
19.25,-0.009
19.3,-0.00917
19.35,-0.00933
19.4,-0.00949
19.45,-0.00965
19.5,-0.0098
19.55,-0.00995
19.6,-0.0101
19.65,-0.0102
19.7,-0.0104
19.75,-0.0105
19.8,-0.0106
19.85,-0.0107
19.9,-0.0109
19.95,-0.011
20,-0.0111
20.05,-0.0112
20.1,-0.0112
20.15,-0.0113
20.2,-0.0114
20.25,-0.0114
20.3,-0.0115
20.35,-0.0115
20.4,-0.0115
20.45,-0.0115
20.5,-0.0115
20.55,-0.0115
20.6,-0.0114
20.65,-0.0113
20.7,-0.0112
20.75,-0.0111
20.8,-0.0109
20.85,-0.0107
20.9,-0.0104
20.95,-0.0102
21,-0.00986
21.05,-0.00952
21.1,-0.00913
21.15,-0.00872
21.2,-0.00827
21.25,-0.00779
21.3,-0.00728
21.35,-0.00676
21.4,-0.00622
21.45,-0.00567
21.5,-0.00512
21.55,-0.00457
21.6,-0.00402
21.65,-0.00349
21.7,-0.00298
21.75,-0.00249
21.8,-0.00203
21.85,-0.0016
21.9,-0.00121
21.95,-0.000844
22,-0.00052
22.05,-0.000232
22.1,0.0000203
22.15,0.000238
22.2,0.000425
22.25,0.000582
22.3,0.000713
22.35,0.000821
22.4,0.00091
22.45,0.000984
22.5,0.00105
22.55,0
22.6,0
22.65,0
22.7,0
22.75,0
22.8,0
22.85,0
22.9,0
22.95,0
23,0
23.05,0
23.1,0
23.15,0
23.2,0
23.25,0
23.3,0
23.35,0
23.4,0
23.45,0
23.5,0
23.55,0
23.6,0
23.65,0
23.7,0
23.75,0
23.8,0
23.85,0
23.9,0
23.95,0
24,0
24.05,0
24.1,0
24.15,0
24.2,0
24.25,0
24.3,0
24.35,0
24.4,0
24.45,0
24.5,0
24.55,0
24.6,0
24.65,0
24.7,0
24.75,0
24.8,0
24.85,0
24.9,0
24.95,0
25,0
25.05,0
25.1,0
25.15,0
25.2,0
25.25,0
25.3,0
25.35,0
25.4,0
25.45,0
25.5,0
25.55,0
25.6,0
25.65,0
25.7,0
25.75,0
25.8,0
25.85,0
25.9,0
25.95,0
26,0
26.05,0
26.1,0
26.15,0
26.2,0
26.25,0
26.3,0
26.35,0
26.4,0
26.45,0
26.5,0
26.55,0
26.6,0
26.65,0
26.7,0
26.75,0
26.8,0
26.85,0
26.9,0
26.95,0
27,0
27.05,0
27.1,0
27.15,0
27.2,0
27.25,0
27.3,0
27.35,0
27.4,0
27.45,0
27.5,0
27.55,0
27.6,0
27.65,0
27.7,0
27.75,0
27.8,0
27.85,0
27.9,0
27.95,0
28,0
28.05,0
28.1,0
28.15,0
28.2,0
28.25,0
28.3,0
28.35,0
28.4,0
28.45,0
28.5,0
28.55,0
28.6,0
28.65,0
28.7,0
28.75,0
28.8,0
28.85,0
28.9,0
28.95,0
29,0
29.05,0
29.1,0
29.15,0
29.2,0
29.25,0
29.3,0
29.35,0
29.4,0
29.45,0
29.5,0
29.55,0
29.6,0
29.65,0
29.7,0
29.75,0
29.8,0
29.85,0
29.9,0
29.95,0
30,0
